album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Theres something bout the way,1
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,The street looks when its just rained,2
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Theres a glow off the pavement you walk me to the car,3
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And you know I wanna ask you to dance right there,4
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,In the middle of the parking lot yeah,5
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Oh yeah,6
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Were driving down the road I wonder if you know,7
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Im trying so hard not to get caught up now,8
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,But youre just so cool run your hands through your hair,9
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Absentmindedly making me want you,10
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I dont know how it gets better than this,11
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You take my hand and drag me head first fearless,12
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I dont know why but with you Id dance,13
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,In a storm in my best dress fеarless,14
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,So baby drive slow til we run out of road in this onеhorse town,15
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,I wanna stay right here in this passengers seat,16
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You put your eyes on me,17
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,In this moment now capture it remember it,18
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Cause I dont know how it gets better than this,19
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You take my hand and drag me head first fearless,20
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I dont know why but with you Id dance,21
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,In a storm in my best dress fearless,22
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Oh oh,23
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Well you stood there with me in the doorway,24
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,My hands shake Im not usually this way but,25
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You pull me in and Im a little more brave,26
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Its the first kiss its flawless really something,27
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Its fearless,28
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Oh yeah,29
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Cause I dont know how it gets better than this,30
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You take my hand and drag me head first fearless,31
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I dont know why but with you Id dance,32
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,In a storm in my best dress fearless,33
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Cause I dont know how it gets better than this,34
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,You take my hand and drag me head first fearless,35
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I dont know why but with you Id dance,36
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,In a storm in my best dress fearless,37
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Oh oh,38
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Ohoh yeah,39
