Album,Release Year,male_terms,female_terms,neutral_pronouns,total_terms,male_terms_pct,female_terms_pct,neutral_pronouns_pct
Taylor Swift (Deluxe),2007,5,10,0,15,33.33,66.67,0.00
1989 (Deluxe),2014,2,32,0,34,5.88,94.12,0.00
reputation,2017,23,13,0,36,63.89,36.11,0.00
Lover,2019,60,15,0,75,80.00,20.00,0.00
folklore (deluxe version),2020,7,21,0,28,25.00,75.00,0.00
Fearless (Taylor’s Version),2021,42,27,0,69,60.87,39.13,0.00
Red (Taylor’s Version),2021,28,45,0,73,38.36,61.64,0.00
evermore (deluxe version),2021,19,12,0,31,61.29,38.71,0.00
Midnights (3am Edition),2022,18,26,0,44,40.91,59.09,0.00
Speak Now (Taylor’s Version),2023,17,25,0,42,40.48,59.52,0.00
