Index,Album,Song Name,Lyrics
0,Taylor Swift,Mary's Song (Oh My My My),said seven nine looked like stars shined sky pretty lights daddies used joke two us growing falling love mamas smiled rolled eyes said oh take back house backyard tree said youd beat bigger never never take back world one block wide dared kiss ran tried two kids oh well sixteen suddenly wasnt little girl used see eyes still shined like pretty lights daddies used joke two us never believed wed really fall love mamas smiled rolled eyes said oh take back creek beds turned 2 riding truck need next take back time first fight slamming doors stead kissing goodnight stayed outside til morning light oh years gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mamas cried said take home met many years well rock babies front porch time might also like ill eightyseven youll eightynine ill still look like stars shine sky oh
1,Taylor Swift,A Perfectly Good Heart,would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break perfectly good heart maybe shouldve seen signs shouldve read writing wall realized distance eyes would one fall matter say still cant believe would walk away dont make sense would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break perfectly good heart unbroken anymore unbroken anymore get back way would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break⊔ would wan na break might also like would wan na break perfectly good heart would wan na take love tear apart would wan na make first scar would wan na break perfectly good heart mmmhmm
2,Taylor Swift,Tim McGraw,said way blue eyes shined put georgia stars shame night said thats lie boy chevy truck tendency gettin stuck backroads night right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think september saw month tears thankin god werent see like box beneath bed letter never read three summers back hard find little bittersweet lookin back nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think im back first time since im standin street theres letter left doorstep first thing youll read think tim mcgraw hope think favorite song someday youll turn radio hope takes back place might also like think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think oh think mmmm said way blue eyes shine put georgia stars shame night said thats lie
3,Taylor Swift,Teardrops On My Guitar,drew looks fake smile wont see want im needing everything ill bet shes beautiful girl talks shes got everything live without drew talks laugh cause funny cant even see anyone hes says hes love hes finally got right wonder knows hes think night hes reason teardrops guitar thing keeps wishing wishing star hes song car keep singing dont know drew walks tell cant breathe goes perfectly kind flawless wish could shed better hold tight give love look beautiful eyes know shes lucky cause might also like hes reason teardrops guitar thing keeps wishing wishing star hes song car keep singing dont know drive home alone turn light ill put picture maybe get sleep tonight cause hes reason teardrops guitar one whos got enough break heart hes song car keep singing dont know hes time taken theres never enough hes need fall drew looks fake smile wont see
4,Taylor Swift,Cold as You,way coming easily take take best start fight cause need feel something want cause im wanted oh shame rainy ending given perfect day walk away aint use defending words never say im sitting thinking ive never anywhere cold put walls paint shade gray stood loving wished away come away great little story mess dreamer nerve adore oh shame rainy ending given perfect day walk away aint use defending words never say im sitting thinking ive never anywhere cold never give damn thing honey cried cried know wouldnt told nobody died died died oh shame rainy ending given perfect day every smile fake condescending counting scars made im sitting thinking ive never anywhere cold oohyou might also like
5,Taylor Swift,The Outside,didnt know would find went looking reason know didnt read lines baby ive got nowhere go tried take road less traveled nothing seems work first times right ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside saw never knew would give part part late see couldve helped wanted one notices late anything ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside might also like oh yeah ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside ohoh oh ohoh ohoh ohoh
6,Taylor Swift,Should've Said No,strange think songs used sing smiles flowers everything gone yesterday found even lookin feels wrong say youd take back given one chance moment weakness said yes shouldve said shouldve gone home shouldve thought twice fore let go shouldve known word bout herd get back get back shouldve back mind shouldnt asking shouldnt begging forgiveness feet shouldve said baby might still see ive cryin baby know right things say honestly expect believe could ever say past past need one chance moment weakness said yes shouldve said shouldve gone home shouldve thought twice fore let go shouldve known word bout herd get back get back shouldve back mind shouldnt asking shouldnt begging forgiveness feet shouldve said baby might still oh oh might also like cant resist go tell worth worth shouldve said shouldve gone home shouldve thought twice fore let go shouldve known word bout herd get back get back shouldve back mind shouldnt asking shouldnt begging forgiveness feet shouldve said baby might still
7,Taylor Swift,A Place In This World,dont know want dont ask cause im still trying figure dont know whats road im walking trying see rain coming even though im one feels way im alone thats know ill strong ill wrong oh life goes oh im girl trying find place world got radio old blue jeans im wearing heart sleeve feeling lucky today got sunshine could tell need tomorrows mystery oh yeah thats okay im alone thats know ill strong ill wrong oh life goes oh im girl trying find place world maybe im girl mission im ready fly im alone thats know ill strong ill wrong oh life goes oh im alone thats know oh im girl trying find place world oh im girl oh im girl oh oh oh im girlyou might also like
8,Taylor Swift,Our Song,ridin shotgun hair undone front seat car hes got onehand feel steering wheel heart look around turn radio says baby something wrong say nothin thinkin dont song says song slamming screen door sneakin late tapping window phone talk real slow cause late mama dont know song way laugh first date man didnt kiss got home fore said amen askin god could play walking front porch steps everything day gone wrong trampled lost thrown away got hallway well way lovin bed almost didnt notice roses note said song slamming screen door sneakin late tapping window phone talk real slow cause late mama dont know song way laugh first date man didnt kiss got home fore said amen askin god could play might also like dadadada ive heard every album listened radio waited somethin come along good song cause song slamming screen door sneakin late tappin window phone talks real slow cause late mama dont know song way laughs first date man didnt kiss got home fore said amen askin god could play play oh yeah oh oh yeah ridin shotgun hair undone front seat car grabbed pen old napkin wrote song
9,Taylor Swift,Picture to Burn,state obvious didnt get perfect fantasy realize love could ever love go tell friends im obsessive crazy thats fine wont mind say way hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lying watch strike match wasted time far im concerned youre another picture burn theres time tears im sitting planning revenge theres nothing stopping going best friends come around saying sorry daddys gon na show sorry youll cause hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lying watch strike match wasted time far im concerned youre another picture burn youre missing youd better keep cause coming back around would bad health cause hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lying watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lying watch strike match wasted time far im concerned youre another picture burn might also like burn burn burn baby burn youre another picture burn baby burn
10,Taylor Swift,Stay Beautiful,coreys eyes like jungle smiles like radio whispers songs window words nobody knows theres pretty girls every corner watch hes walking home saying know ever know youre beautiful every little piece love dont know youre really gon na someone ask anyone find everything looked hope life leads back door oh dont stay beautiful cory finds another way highlight day im taking pictures mind save em rainy day hard make conversation hes taking breath away say hey way youre beautiful every little piece love dont know youre really gon na someone ask anyone find everything looked hope life leads back door oh dont stay beautiful story never gets told daydream ill never get hold least youll know youre beautiful every little piece love dont know youre really gon na someone ask anyone find everything looked hope life leads back front door oh dont stay beautiful beautiful beautiful beautiful beautiful beautiful might also like lalala ohohoh ohohohoh oh dont stay beautiful stay beautiful nanana nana
