Album,Release Date,Song Title,Featured Artists,Lyrics
Taylor Swift (Deluxe),06/11/2007,Tim McGraw,,said way blue eyes shined put georgia stars shame night said lie boy chevy truck tendency gettin stuck backroads night right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think september saw month tears thankin god see like box beneath bed letter never read three summers back might also like hard find little bittersweet lookin back nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think back first time since standin street letter left doorstep first thing read think tim mcgraw hope think favorite song someday turn radio hope takes back place think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think oh think mmm said way blue eyes shined put georgia stars shame night said lie
Taylor Swift (Deluxe),06/11/2007,Picture to Burn,,state obvious get perfect fantasy realize love could ever love go tell friends obsessive crazy fine mind say way hate stupid old pickup truck never let drive redneck heartbreak really bad lyin watch strike match wasted time far concerned another picture burn time tears sittin planning revenge nothing stoppin goin best friends come around sayin sorry daddy gon na show ya sorry cause hate stupid old pickup truck never let drive redneck heartbreak really bad lyin watch strike match wasted time far concerned another picture burn missing better keep cause coming back around would bad health might also like cause hate stupid old pickup truck never let drive redneck heartbreak really bad lyin watch strike match wasted time case heard really really hate stupid old pickup truck never let drive redneck heartbreak really bad lyin watch strike match wasted time far concerned another picture burn burn burn burn baby burn another picture burn baby burn
Taylor Swift (Deluxe),06/11/2007,Teardrops On My Guitar,,drew looks fake smile see want needing everything bet beautiful girl talks got everything live without drew talks laugh cause funny even see anyone says love finally got right wonder knows think night reason teardrops guitar thing keeps wishin wishing star song car keep singing know drew walks tell breathe goes perfectly kind flawless wish could might also like better hold tight give love look beautiful eyes know lucky cause reason teardrops guitar thing keeps wishin wishing star song car keep singing know drive home alone turn light put picture maybe get sleep tonight cause reason teardrops guitar one got enough break heart song car keep singing know time taken never enough need fall drew looks fake smile see
Taylor Swift (Deluxe),06/11/2007,A Place In This World,,know want ask cause still trying figure know road walking trying see rain coming even though one feels way alone know strong wrong oh life goes oh girl trying find place world got radio old blue jeans wearing heart sleeve feeling lucky today got sunshine could tell need tomorrow mystery oh yeah okay alone know strong wrong oh life goes oh girl trying find place world might also like maybe girl mission ready fly alone know strong wrong oh life goes oh alone know oh girl trying find place world oh girl oh girl oh oh oh girl
Taylor Swift (Deluxe),06/11/2007,Cold as You,,way coming easily take take best start fight cause need feel something want cause wanted oh shame rainy ending given perfect day walk away use defending words never say sitting thinking never anywhere cold put walls paint shade gray stood loving wished away come away great little story mess dreamer nerve adore oh shame rainy ending given perfect day walk away use defending words never say sitting thinking never anywhere cold might also like never give damn thing honey cried cried know told nobody died died died oh shame rainy ending given perfect day oh every smile fake condescending counting scars made sitting thinking never anywhere cold ooh oh
Taylor Swift (Deluxe),06/11/2007,The Outside,,know would find went looking reason know read lines baby got nowhere go tried take road less traveled nothing seems work first times right ever try better nobody ever lets still see best view outside looking lot lonely places never outside saw never knew would give part part late see could helped wanted one notices late anything might also like ever try better nobody ever lets still see best view outside looking lot lonely places never outside oh yeah ever try better nobody ever lets still see best view outside looking lot lonely places never outside oh oh oh oh oh oh oh oh oh
Taylor Swift (Deluxe),06/11/2007,Tied Together with a Smile,,seems one see beauty face mirror looking back walk around thinking pretty true cause know hold baby losing water high jumping letting go one knows cry tell anyone might golden one tied together smile coming undone oh guess true love wanted cause giving away like extra change hoping end pocket pocket leaves like penny rain oh cause price pay price pay hold baby losing water high jumping letting go one knows cry tell anyone might golden one tied together smile coming undone oh oh oh might also like hold baby losing water high jumping letting go one knows cry tell anyone might golden one tied together smile coming undone oh tied together smile coming undone oh oh oh goodbye baby smile baby baby oh
Taylor Swift (Deluxe),06/11/2007,Stay Beautiful,,cory eyes like jungle smiles like radio whispers songs window words nobody knows pretty girls every corner watch walking home saying know ever know beautiful every little piece love know really gon na someone ask anyone find everything looked hope life leads back door oh stay beautiful cory finds another way highlight day taking pictures mind save em rainy day hard make conversation taking breath away say hey way might also like beautiful every little piece love know really gon na someone ask anyone find everything looked hope life leads back door oh stay beautiful story never gets told daydream never get hold least know beautiful every little piece love know really gon na someone ask anyone find everything looked hope life leads back front door oh stay beautiful beautiful beautiful beautiful beautiful beautiful la la la oh oh oh oh oh oh oh oh stay beautiful stay beautiful na na na na na
Taylor Swift (Deluxe),06/11/2007,Should’ve Said No,,strange think songs used sing smiles flowers everything gone yesterday found even lookin feels wrong say take back given one chance moment weakness said yes said gone home thought twice fore let go known word bout get back get back back mind asking begging forgiveness feet said baby might still see cryin baby know right things say honestly expect believe could ever might also like say past past need one chance moment weakness said yes said gone home thought twice fore let go known word bout get back get back back mind asking begging forgiveness feet said baby might still oh oh resist go tell worth worth said gone home thought twice fore let go known word bout get back get back back mind asking begging forgiveness feet said baby might still
Taylor Swift (Deluxe),06/11/2007,Mary’s Song (Oh My My My),,said seven nine looked like stars shined sky pretty lights daddies used joke two us growing falling love mamas smiled rolled eyes said oh take back house backyard tree said beat bigger never never take back world one block wide dared kiss ran tried two kids oh well sixteen suddenly little girl used see eyes still shined like pretty lights daddies used joke two us never believed really fall love mamas smiled rolled eyes said oh might also like take back creek beds turned 2 riding truck need next take back time first fight slamming doors stead kissing goodnight stayed outside til morning light oh years gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mamas cried said take home met many years rock babies front porch time eighty seven eighty nine still look like stars shine sky oh
Taylor Swift (Deluxe),06/11/2007,Our Song,,ridin shotgun hair undone front seat car got one hand feel steering wheel heart look around turn radio says baby something wrong say nothin thinkin song says song slamming screen door sneakin late tapping window phone talk real slow cause late mama know song way laugh first date man kiss got home fore said amen askin god could play walking front porch steps everything day gone wrong trampled lost thrown away got hallway well way lovin bed almost notice roses note said might also like song slamming screen door sneakin late tapping window phone talk real slow cause late mama know song way laugh first date man kiss got home fore said amen askin god could play da da da da heard every album listened radio waited somethin come along good song cause song slamming screen door sneakin late tappin window phone talks real slow cause late mama know song way laughs first date man kiss got home fore said amen askin god could play play oh yeah oh oh yeah ridin shotgun hair undone front seat car grabbed pen old napkin wrote song
Taylor Swift (Deluxe),06/11/2007,I’m Only Me When I’m With You,,friday night beneath stars field behind yard painting pictures sky sometimes say thing listen crickets sing everything need right side know everything wan na live without wan na fly still ground like matter well drive crazy half time half tryin let know feel true small town boy girl livin crazy world tryna figure true try hide tears secrets deepest fears nobody gets like might also like know everything say live without wan na fly still ground like matter well drive crazy half time half tryin let know feel true anybody else hard tell wan na fly still ground like matter well drive crazy half time half tryin let know feel true wan na well uh huh huh yeah
Taylor Swift (Deluxe),06/11/2007,Invisible,,see way eyes light smile never notice stop stare whenever walks see wanting way want everything wan na show even know never gon na love like want see right knew could beautiful miracle unbelievable instead invisible oh yeah oh fire inside help shine never gon na see light matter might also like think make think everything could wan na show even know never gon na love like want see right knew could beautiful miracle unbelievable instead invisible like shadows faded light oh invisible wan na open eyes make realize wan na show even know baby let love let want see right knew could beautiful miracle unbelievable instead invisible oh yeah see way eyes light smile
