album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,theres something bout the way,1
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,the street looks when its just rained,2
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,theres a glow off the pavement you walk me to the car,3
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,and you know i wanna ask you to dance right there,4
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,in the middle of the parking lot yeah,5
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,oh yeah,6
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,were driving down the road i wonder if you know,7
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,im trying so hard not to get caught up now,8
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,but youre just so cool run your hands through your hair,9
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,absentmindedly making me want you,10
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,and i dont know how it gets better than this,11
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,you take my hand and drag me head first fearless,12
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,and i dont know why but with you id dance,13
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,in a storm in my best dress fеarless,14
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,so baby drive slow til we run out of road in this onеhorse town,15
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,i wanna stay right here in this passengers seat,16
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,you put your eyes on me,17
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,in this moment now capture it remember it,18
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,cause i dont know how it gets better than this,19
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,you take my hand and drag me head first fearless,20
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,and i dont know why but with you id dance,21
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,in a storm in my best dress fearless,22
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,oh oh,23
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,well you stood there with me in the doorway,24
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,my hands shake im not usually this way but,25
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,you pull me in and im a little more brave,26
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,its the first kiss its flawless really something,27
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,its fearless,28
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,oh yeah,29
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,cause i dont know how it gets better than this,30
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,you take my hand and drag me head first fearless,31
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,and i dont know why but with you id dance,32
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,in a storm in my best dress fearless,33
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,cause i dont know how it gets better than this,34
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,you take my hand and drag me head first fearless,35
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,and i dont know why but with you id dance,36
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,in a storm in my best dress fearless,37
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,oh oh,38
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,ohoh yeah,39
