Index,Album,Song Name,Lyrics
0,Taylor Swift,Mary's Song (Oh My My My),she said i was seven and you were nine i looked at you like the stars that shined in the sky the pretty lights and our daddies used to joke about the two of us growing up and falling in love and our mamas smiled and rolled their eyes and said oh my my my  take me back to the house in the backyard tree said youd beat me up you were bigger than me you never did you never did take me back when our world was one block wide i dared you to kiss me and ran when you tried just two kids you and i oh my my my my well i was sixteen when suddenly i wasnt that little girl you used to see but your eyes still shined like pretty lights and our daddies used to joke about the two of us they never believed wed really fall in love and our mamas smiled and rolled their eyes and said oh my my my  take me back to the creek beds we turned up 2 am riding in your truck and all i need is you next to me take me back to the time we had our very first fight the slamming of doors stead of kissing goodnight you stayed outside til the morning light oh my my my my  a few years had gone and come around we were sitting at our favorite spot in town and you looked at me got down on one knee  take me back to the time when we walked down the aisle our whole town came and our mamas cried you said i do and i did too take me home where we met so many years before well rock our babies on that very front porch after all this time you and i you might also like and ill be eightyseven youll be eightynine ill still look at you like the stars that shine in the sky oh my my my
1,Taylor Swift,A Perfectly Good Heart,why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  maybe i shouldve seen the signs shouldve read the writing on the wall and realized by the distance in your eyes that i would be the one to fall no matter what you say i still cant believe that you would walk away it dont make sense to me but  why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  its not unbroken anymore its not unbroken anymore how do i get it back the way it was before  why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break⊔ why would you wanna break it you might also like why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  mmmhmm
2,Taylor Swift,Tim McGraw,he said the way my blue eyes shined put those georgia stars to shame that night i said thats a lie just a boy in a chevy truck that had a tendency of gettin stuck on backroads at night and i was right there beside him all summer long and then the time we woke up to find that summer gone  but when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me september saw a month of tears and thankin god that you werent here to see me like that but in a box beneath my bed is a letter that you never read from three summers back its hard not to find it all a little bittersweet and lookin back on all of that its nice to believe  when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me  and im back for the first time since then im standin on your street and theres a letter left on your doorstep and the first thing that youll read is when you think tim mcgraw i hope you think my favorite song someday youll turn your radio on i hope it takes you back to that place you might also like when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me oh think of me mmmm  he said the way my blue eyes shine put those georgia stars to shame that night i said thats a lie
3,Taylor Swift,Teardrops On My Guitar,drew looks at me i fake a smile so he wont see that i want and im needing everything that we should be  ill bet shes beautiful that girl he talks about and shes got everything that i have to live without drew talks to me i laugh cause its just so funny that i cant even see anyone when hes with me  he says hes so in love hes finally got it right i wonder if he knows hes all i think about at night  hes the reason for the teardrops on my guitar the only thing that keeps me wishing on a wishing star hes the song in the car i keep singing dont know why i do  drew walks by me can he tell that i cant breathe and there he goes so perfectly the kind of flawless i wish i could be  shed better hold him tight give him all her love look in those beautiful eyes and know shes lucky cause you might also like hes the reason for the teardrops on my guitar the only thing that keeps me wishing on a wishing star hes the song in the car i keep singing dont know why i do  so i drive home alone as i turn off the light ill put his picture down and maybe get some sleep tonight  cause hes the reason for the teardrops on my guitar the only one whos got enough for me to break my heart hes the song in the car i keep singing dont know why i do hes the time taken up but theres never enough and hes all that i need to fall into  drew looks at me i fake a smile so he wont see
4,Taylor Swift,Cold as You,you have a way of coming easily to me and when you take you take the very best of me so i start a fight cause i need to feel something and you do what you want cause im not what you wanted  oh what a shame what a rainy ending given to a perfect day just walk away aint no use defending words that you will never say and now that im sitting here thinking it through ive never been anywhere cold as you you put up walls and paint them all a shade of gray and i stood there loving you and wished them all away and you come away with a great little story of a mess of a dreamer with the nerve to adore you  oh what a shame what a rainy ending given to a perfect day so just walk away aint no use defending words that you will never say and now that im sitting here thinking it through ive never been anywhere cold as you  you never did give a damn thing honey but i cried cried for you and i know you wouldnt have told nobody if i died died for you died for you  oh what a shame what a rainy ending given to a perfect day every smile you fake is so condescending counting all the scars you made and now that im sitting here thinking it through ive never been anywhere cold as you oohyou might also like
5,Taylor Swift,The Outside,i didnt know what i would find when i went looking for a reason i know i didnt read between the lines and baby ive got nowhere to go  i tried to take the road less traveled by but nothing seems to work the first few times am i right so how can i ever try to be better nobody ever lets me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside  you saw me there but never knew that i would give it all up to be a part of this a part of you and now its all too late so you see  you couldve helped if you had wanted to but no one notices until its too late to do anything  how can i ever try to be better nobody ever lets me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside you might also like oh yeah  how can i ever try to be better nobody ever lets me in and i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside  ohoh oh ohoh ohoh ohoh
6,Taylor Swift,Should've Said No,its strange to think the songs we used to sing the smiles the flowers everything is gone yesterday i found out about you even now just lookin at you feels wrong  you say that youd take it all back given one chance it was a moment of weakness and you said yes you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me  you can see that ive been cryin and baby you know all the right things to say but do you honestly expect me to believe we could ever be the same  you say that the past is the past you need one chance it was a moment of weakness and you said yes  you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me oh oh you might also like i cant resist before you go tell me this was it worth it was she worth this no no no no no no  you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me
7,Taylor Swift,A Place In This World,i dont know what i want so dont ask me cause im still trying to figure it out dont know whats down this road im just walking trying to see through the rain coming down even though im not the only one who feels the way i do  im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im just a girl trying to find a place in this world got the radio on my old blue jeans and im wearing my heart on my sleeve feeling lucky today got the sunshine could you tell me what more do i need and tomorrows just a mystery oh yeah but thats okay  im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im just a girl trying to find a place in this world  maybe im just a girl on a mission but im ready to fly  im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im alone on my own and thats all i know oh im just a girl trying to find a place in this world  oh im just a girl oh im just a girl oh oh oh im just a girlyou might also like
8,Taylor Swift,Our Song,i was ridin shotgun with my hair undone in the front seat of his car hes got a onehand feel on the steering wheel the other on my heart i look around turn the radio down he says baby is something wrong i say nothin i was just thinkin how we dont have a song and he says our song is the slamming screen door sneakin out late tapping on your window when were on the phone and you talk real slow cause its late and your mama dont know our song is the way you laugh the first date man i didnt kiss her and i should have and when i got home fore i said amen askin god if he could play it again  i was walking up the front porch steps after everything that day had gone all wrong or been trampled on and lost and thrown away got to the hallway well on my way to my lovin bed i almost didnt notice all the roses and the note that said  our song is the slamming screen door sneakin out late tapping on your window when were on the phone and you talk real slow cause its late and your mama dont know our song is the way you laugh the first date man i didnt kiss her and i should have and when i got home fore i said amen askin god if he could play it again you might also like dadadada  ive heard every album listened to the radio waited for somethin to come along that was as good as our song  cause our song is the slamming screen door sneakin out late tappin on his window when were on the phone and he talks real slow cause its late and his mama dont know our song is the way he laughs the first date man i didnt kiss him and i should have and when i got home fore i said amen askin god if he could play it again  play it again oh yeah oh oh yeah  i was ridin shotgun with my hair undone in the front seat of his car i grabbed a pen and an old napkin and i wrote down our song
9,Taylor Swift,Picture to Burn,state the obvious i didnt get my perfect fantasy i realize you love yourself more than you could ever love me so go and tell your friends that im obsessive and crazy thats fine you wont mind if i say by the way  i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lying so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn theres no time for tears im just sitting here planning my revenge theres nothing stopping me from going out with all of your best friends and if you come around saying sorry to me my daddys gonna show you how sorry youll be  cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lying so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn  and if youre missing me youd better keep it to yourself cause coming back around here would be bad for your health  cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lying so watch me strike a match on all my wasted time in case you havent heard i really really hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lying so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn you might also like burn burn burn baby burn youre just another picture to burn baby burn
